Timestamp,EventID,EventName,Section,Row,Seats,Qty,TotalPrice,ListPrice,FaceValue,Currency,TotalFees,Type,SellerNotes,OfferID,ListingID
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","393.1","360","360","CAD","33.10","primary","","GJ6DC7BWGM","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","291.8","261","261","CAD","30.80","primary","","GJ6DC7BWGY","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","242.55","213","213","CAD","29.55","primary","","GJ6DC7BXGA","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","190.3","165","165","CAD","25.30","primary","","GJ6DC7BXGM","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","161.6","140","140","CAD","21.60","primary","","GJ6DC7BXGQ","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","155.5","134","134","CAD","21.50","primary","","GJ6DC7BXGU","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","133.7","115","115","CAD","18.70","primary","","GJ6DC7BXHA","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","N/A","N/A","N/A","9","90.75","76","76","CAD","14.75","primary","","GJ6DCMBQGAYTQMBQGAYDS7BXHE","N/A"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","312","4","17-18","2","138.58","115","115","CAD","23.58","resale","","GN6DCMBQG43TOOBYGUZHYMJXGVSGKZDCHBTDK","1007778852"
"2026-02-19T04:00:27.694Z","1000631AC82D3015","Toronto Raptors vs. Oklahoma City Thunder Tickets Feb 24 2026 Toronto ON | Ticketmaster","308","13","17-18","2","179.55","149","149","CAD","30.55","resale","","GN6DCMBQGM2TMNRQGMZHYMJXGVSTSYTBGU3DK","1003566032"
